Name 		 			Origsent Termsent
 ---------------------------------------------------
bing                    317,329 4,855,891
bittorrent              341,003 2,915,268
dcerpc                  901,184 2,686,670
facebook                130,104 3,541,080
facebook_mail            51,192 872,960
gmail_basic              76,630 52,490
google_analytics            1,260 3,524
gtalk                    22,188 24,890
http                  4,363,787 16,146,298
https                 1,173,486 4,182,558
jabber                  272,822 167,846
nspi                    180,616 249,556
ssl                     122,096 185,583
stun                     67,480 115,680
tcp                     219,785 305,753
twitter               1,466,758 3,134,576
udp                   4,170,781 8,389
unknown               3,971,471 5,191,972
webex                 1,336,953 3,252,305
youtube                 109,000 4,251,292
